
Image Name                     PID Session Name        Session#    Mem Usage
chrome.exe                    1908 Console                    1      6,980 K
chrome.exe                    3152 Console                    1     23,684 K
chrome.exe                    9676 Console                    1      5,056 K
svchost.exe                   1524 Services                   0      1,816 K
vmconnect.exe                 8920 Console                    1    150,140 K
ShellExperienceHost.exe      19028 Console                    1     35,120 K
RuntimeBroker.exe            15848 Console                    1      9,940 K
firefox.exe                  18092 Console                    1     48,072 K
StartMenuExperienceHost.e    17852 Console                    1      7,672 K
RuntimeBroker.exe             8996 Console                    1      1,260 K
OfficeClickToRun.exe         19316 Services                   0     21,012 K
AppVShNotify.exe              4352 Console                    1        632 K
SearchIndexer.exe             5488 Services                   0     21,376 K
RuntimeBroker.exe            24660 Console                    1     25,720 K
firefox.exe                   4556 Console                    1     25,972 K
chrome.exe                   12572 Console                    1      7,912 K
LockApp.exe                  25088 Console                    1     18,340 K
chrome.exe                   23572 Console                    1     51,092 K
firefox.exe                  12296 Console                    1     13,308 K
svchost.exe                  15444 Services                   0      9,944 K
svchost.exe                  23344 Services                   0      6,872 K
chrome.exe                    1092 Console                    1     34,112 K
chrome.exe                   12068 Console                    1     45,708 K
chrome.exe                   23432 Console                    1     25,836 K
chrome.exe                    6920 Console                    1     31,164 K
chrome.exe                   14964 Console                    1     12,908 K
firefox.exe                   2532 Console                    1     20,980 K
openvpn.exe                  19844 Console                    1      8,308 K
conhost.exe                   2312 Console                    1      4,744 K
audiodg.exe                  23760 Services                   0     40,860 K
firefox.exe                  23156 Console                    1     21,400 K
svchost.exe                  24508 Services                   0     12,720 K
svchost.exe                  17892 Services                   0      6,852 K
dllhost.exe                  24308 Console                    1     14,292 K
svchost.exe                  24380 Services                   0     12,660 K
dllhost.exe                   6544 Console                    1     14,964 K
dllhost.exe                  23564 Console                    1     14,328 K
AnyDesk.exe                  15204 Console                    1     55,768 K
AnyDesk.exe                  19840 Console                    1     51,156 K
AnyDesk.exe                   9616 Console                    1     42,748 K
SearchProtocolHost.exe       25320 Services                   0     10,904 K
svchost.exe                  24904 Services                   0      6,420 K
AnyDesk.exe                  24916 Console                    1    118,668 K
SearchFilterHost.exe            84 Services                   0      8,240 K
dllhost.exe                  21956 Console                    1     17,344 K
smartscreen.exe              11684 Console                    1     10,676 K
cmd.exe                       9644 Console                    1      6,860 K
conhost.exe                   4676 Console                    1      7,952 K
OpenConsole.exe               3160 Console                    1     12,140 K
WindowsTerminal.exe          23360 Console                    1    125,704 K
RuntimeBroker.exe            12196 Console                    1     11,364 K
WmiPrvSE.exe                 18524 Services                   0     17,768 K
WmiPrvSE.exe                 21488 Services                   0      9,088 K
TrustedInstaller.exe         21396 Services                   0      8,244 K
TiWorker.exe                   344 Services                   0     13,612 K
tasklist.exe                 23400 Console                    1      9,296 K
